video_id,duration_minutes,title_length,description_length,tags_count,has_thumbnail_custom,video_quality,category,language,has_subtitles,channel_subscribers,channel_age_months,previous_videos_count,avg_upload_frequency_days,comments_count,likes_count,shares_count,playlist_adds,promoted,upload_time,upload_day,total_views,duration_minutes_log,tags_count_log
VID01849,33,-1.3948502572701678,0.6832659188419906,30.0,1,1,Culinária,Português,Não,606183,6.0,154,20,1725.0,17368,1491.0,437,Não,Noite,Domingo,494000,0.3442364310130057,0.5204361552046983
VID01412,37,-0.6677119616498405,0.9904957236232964,11.0,0,0,Vlogs,Português,Não,48296,88.0,299,7,3546.0,1150,4206.0,20,Não,Noite,Sábado,122096,0.4962070481832651,-0.5589787941998997
VID00431,42,0.5569420099212367,0.8368808212326434,49.0,0,0,Educação,Português,Não,578623,4.0,2,25,508.0,39217,3317.0,369,Não,Madrugada,Sexta,421856,0.6651041658357971,1.0641191833045955
VID02148,41,-0.9356050179310137,-0.6626932259142063,29.0,1,4,Gaming,Português,Sim,83046,4.0,253,5,4981.0,40527,4169.0,319,Não,Noite,Sexta,279129,0.6329538058022794,0.48314340405908185
VID02493,19,-0.1319258490874943,-0.5273658119033929,17.0,1,0,Gaming,Português,Não,176204,48.0,93,12,8560.0,1429,2633.0,241,Não,Noite,Sexta,329481,-0.3807754129021103,-0.09783237518643251
VID01620,44,1.360621178764756,-0.0043436442399795135,2.0,1,0,Gaming,Português,Sim,66573,12.0,407,11,4675.0,2419,1601.0,17,Sim,Manhã,Domingo,200108,0.7272206468037257,-2.135648814739523
VID00862,55,-0.3998189053686674,1.0014682166512003,7.0,1,4,Música,Português,Não,766132,48.0,65,1,4599.0,5968,1732.0,365,Não,Madrugada,Seg-Qui,1233997,1.0260216633693855,-1.0201252132133674
VID00283,25,0.5569420099212367,0.40529609546842815,44.0,1,0,Música,Inglês,Sim,474140,45.0,14,28,18.0,27330,1960.0,262,Não,Tarde,Sábado,2076319,-0.022299966526522726,0.9442898230725489
VID01514,7,-1.5096615671049562,0.8771132956682907,6.0,1,1,Educação,Inglês,Sim,140705,91.0,4,6,5570.0,9507,4354.0,574,Não,Noite,Sábado,455382,-1.6327284171920713,-1.1719940727115146
VID00650,11,1.0544576858719865,-0.19453352339031166,12.0,1,4,Música,Inglês,Sim,960950,107.0,319,28,1440.0,23691,2072.0,381,Não,Noite,Sábado,3907314,-1.078730387339153,-0.4679440608192252
VID01076,52,-0.9356050179310137,1.2062880865054042,31.0,1,4,Educação,Inglês,Sim,64542,94.0,29,9,7995.0,4247,1932.0,136,Não,Manhã,Sábado,336576,0.9507919889200594,0.5565448073262563
VID01356,7,1.2075394323183712,1.5208328866386456,19.0,1,4,Culinária,Português,Não,914791,51.0,78,21,187.0,5624,316.0,205,Não,Manhã,Sábado,646251,-1.6327284171920713,0.02199698504561417
VID01383,11,1.398891615376352,-1.5990126309619952,18.0,1,1,Culinária,Português,Não,55182,61.0,79,11,3038.0,10549,111.0,233,Não,Madrugada,Sexta,92928,-1.078730387339153,-0.03634026408683776
VID01088,42,-0.782523271484629,-1.1089079423822932,36.0,1,0,Fitness,Espanhol,Sim,705090,75.0,284,26,7121.0,25350,2496.0,415,Não,Tarde,Domingo,740987,0.6651041658357971,0.7216642284704009
VID02143,47,0.059426333970486515,0.5954859746187604,9.0,1,1,Culinária,Português,Sim,602631,80.0,67,26,7056.0,25119,1711.0,246,Não,Tarde,Seg-Qui,537180,0.8154013875008944,-0.7663380252241971
VID01217,38,-0.5911710884266482,-0.67366571894211,47.0,1,0,Fitness,Português,Não,831753,114.0,271,11,5427.0,18245,3477.0,9,Não,Madrugada,Seg-Qui,666426,0.5316980633263949,1.017691226339724
VID00938,34,-0.32327803214547507,1.0051257143271681,0.0,1,4,Música,Português,Sim,582808,40.0,188,18,5556.0,16362,2433.0,875,Sim,Manhã,Sábado,1021477,0.3838428928192985,-3.385130244022802
VID00057,26,-0.9738754545426098,0.5077060303955301,49.0,1,2,Vlogs,Inglês,Não,713236,17.0,41,9,3978.0,47487,1281.0,654,Não,Noite,Sexta,1778552,0.029265672366682892,1.0641191833045955
VID00932,26,0.9779168126487944,-0.5200508165514571,38.0,1,4,Culinária,Português,Não,973115,47.0,415,8,8129.0,1054,3417.0,632,Não,Madrugada,Sexta,750420,0.029265672366682892,0.7815373684640537
VID00980,40,-0.8973345813194175,-0.7870481468971157,28.0,1,1,Educação,Português,Não,170999,97.0,451,21,2610.0,44763,2533.0,891,Não,Madrugada,Sexta,226235,0.6000286642004101,0.4445862536616426
VID00644,38,0.7100237563676213,0.9758657329194247,45.0,1,0,Fitness,Espanhol,Não,685891,36.0,11,1,8186.0,15103,1498.0,471,Não,Manhã,Seg-Qui,690147,0.5316980633263949,0.9692870273313443
VID02437,19,0.5186715733096404,1.1916580958015324,47.0,1,0,Culinária,Espanhol,Não,370277,95.0,214,24,9917.0,41882,1312.0,40,Sim,Manhã,Domingo,633259,-0.3807754129021103,1.017691226339724
VID00045,56,-0.6677119616498405,0.2955711651893904,44.0,0,0,Fitness,Português,Não,789843,96.0,475,28,4309.0,24970,4430.0,413,Não,Manhã,Sábado,640085,1.0502050780361836,0.9442898230725489
VID01463,24,-0.8207937080962252,-1.0430729842148705,37.0,1,2,Tecnologia,Inglês,Sim,716916,85.0,412,21,92.0,34089,2200.0,320,Não,Manhã,Sexta,1976739,-0.075888296032173,0.751994746182974
VID01201,7,-0.6677119616498405,1.016098207355072,21.0,1,2,Fitness,Inglês,Não,513704,31.0,498,15,18.0,14913,911.0,537,Sim,Madrugada,Sábado,1111062,-1.6327284171920713,0.13039582685315482
VID01778,36,-0.17019628569909045,-0.38838090021661176,2.0,1,2,Culinária,Português,Sim,164905,30.0,105,3,4952.0,27058,4365.0,555,Não,Tarde,Sexta,272728,0.459769495240468,-2.135648814739523
VID00354,34,-0.055384975864301966,-1.4307677378674708,24.0,1,0,Fitness,Português,Não,782270,42.0,63,26,9224.0,13372,4309.0,730,Não,Tarde,Seg-Qui,608321,0.3838428928192985,0.27578417303478386
VID01927,60,-1.47139113049336,1.5427778726944532,24.0,1,4,Vlogs,Português,Sim,832390,75.0,417,26,4304.0,18302,2017.0,564,Não,Manhã,Domingo,741331,1.1428729402019213,0.27578417303478386
VID00458,33,1.2458098689299675,-1.310070314560529,21.0,1,0,Educação,Inglês,Sim,670279,79.0,359,18,9128.0,30638,1340.0,354,Não,Tarde,Sexta,1243302,0.3442364310130057,0.13039582685315482
VID00176,40,1.0161872492603905,0.5808559839148887,28.0,1,4,Fitness,Inglês,Sim,189387,37.0,36,28,2551.0,25209,151.0,841,Não,Tarde,Sexta,523900,0.6000286642004101,0.4445862536616426
VID00766,19,1.360621178764756,-0.4651883514119382,15.0,1,1,Gaming,Português,Sim,59126,44.0,363,14,3671.0,43506,1715.0,531,Não,Tarde,Seg-Qui,205855,-0.3807754129021103,-0.23179020294355548
VID02151,25,-0.8590641447078213,0.6796084211660227,2.0,1,0,Tecnologia,Português,Sim,84866,58.0,242,4,7753.0,25688,4930.0,692,Não,Madrugada,Sábado,210224,-0.022299966526522726,-2.135648814739523
VID00480,51,0.8631055028140059,-1.0357579888629347,7.0,1,0,Culinária,Português,Não,599712,107.0,274,9,4406.0,12534,1014.0,299,Não,Noite,Seg-Qui,476667,0.924765920893501,-1.0201252132133674
VID01568,51,-1.5479320037165523,0.013943844139860115,2.0,1,0,Vlogs,Português,Não,415259,76.0,125,19,1513.0,9766,1366.0,419,Não,Tarde,Sábado,380367,0.924765920893501,-2.135648814739523
VID01318,38,0.09769677058208268,-0.4432433653561306,35.0,0,0,Educação,Português,Não,884694,39.0,267,19,954.0,19973,1855.0,98,Não,Manhã,Sábado,516700,0.5316980633263949,0.6905026350833793
VID01638,20,0.3273193902516597,0.6320609513784397,31.0,1,2,Gaming,Português,Sim,459273,18.0,81,27,2217.0,11991,4501.0,906,Não,Tarde,Domingo,716617,-0.3141120816177443,0.5565448073262563
VID02185,57,0.44213070008644817,0.07612130463131486,39.0,1,1,Culinária,Português,Sim,432596,12.0,194,8,3134.0,19572,4612.0,203,Sim,Noite,Sábado,454657,1.073967890187985,0.810331995315426
VID00809,11,1.398891615376352,-0.9114030678800252,22.0,0,4,Vlogs,Português,Não,675153,71.0,24,11,3904.0,48225,920.0,860,Não,Manhã,Sábado,667665,-1.078730387339153,0.18095201706153255
VID01566,29,-1.4331206938817638,-0.8236231236567949,23.0,1,0,Fitness,Inglês,Sim,616812,8.0,69,20,6451.0,23938,2573.0,540,Sim,Manhã,Sexta,1402635,0.17322261695080798,0.22935621606991216
VID00044,45,1.4754324885995445,1.3269855098123458,47.0,0,0,Culinária,Inglês,Sim,182736,62.0,400,1,5644.0,2071,1459.0,480,Sim,Manhã,Sábado,645001,0.7572510261804745,1.017691226339724
VID00451,55,-0.9356050179310137,1.166055612069757,2.0,0,0,Música,Inglês,Não,247710,7.0,395,24,9770.0,49253,2933.0,361,Não,Noite,Sábado,1353564,1.0260216633693855,-2.135648814739523
VID00782,28,-0.8207937080962252,-1.650217598425546,10.0,0,0,Tecnologia,Português,Não,499453,93.0,139,21,1063.0,44452,1505.0,970,Não,Noite,Seg-Qui,585927,0.1269020027679617,-0.657939183416657
VID00325,43,0.02115589735889036,0.7234983932776378,26.0,1,0,Educação,Inglês,Não,945213,71.0,212,26,1281.0,35357,1170.0,787,Não,Noite,Sexta,1515752,0.6965153712615256,0.36331404382703514
VID00840,46,-0.9738754545426098,1.257493053968955,5.0,1,0,Culinária,Português,Não,839751,60.0,207,11,8849.0,36002,4040.0,30,Não,Noite,Domingo,726554,0.7866355406153094,-1.3473138044697115
VID00757,15,-0.17019628569909045,1.506202895934774,15.0,0,0,Educação,Inglês,Não,806843,103.0,29,24,7527.0,8791,4236.0,186,Não,Tarde,Domingo,1334950,-0.6856625297720477,-0.23179020294355548
VID00974,41,0.9396463760371982,1.6378728122696193,24.0,0,4,Fitness,Português,Não,537931,68.0,57,13,1884.0,3164,2376.0,111,Não,Manhã,Sábado,383619,0.6329538058022794,0.27578417303478386
VID02298,37,1.4371620519879482,1.3745329795999288,48.0,0,0,Fitness,Espanhol,Não,68837,52.0,169,7,8935.0,39387,4061.0,166,Não,Manhã,Sábado,272058,0.4962070481832651,1.0411420985997732
VID00510,59,0.174237643805275,-1.4015077564597274,14.0,1,4,Música,Espanhol,Sim,931982,34.0,440,28,9453.0,46147,4380.0,728,Não,Noite,Domingo,2080170,1.1202885043708313,-0.30519160621073
VID00611,6,-0.017114539252705802,0.8332233235566755,31.0,1,4,Vlogs,Português,Não,445285,40.0,323,5,4705.0,30854,2890.0,456,Não,Madrugada,Domingo,461806,-1.815175998890686,0.5565448073262563
VID00621,2,1.590243798434333,-0.059206109379498405,38.0,1,1,Culinária,Espanhol,Sim,205499,8.0,84,1,3092.0,49932,4001.0,890,Não,Madrugada,Seg-Qui,387189,-2.972862162179201,0.7815373684640537
VID02022,43,-1.5096615671049562,-1.010155505131159,34.0,1,4,Educação,Inglês,Não,934810,67.0,50,9,4085.0,41166,238.0,607,Não,Madrugada,Sexta,1541431,0.6965153712615256,0.6584631358172784
VID02059,12,-0.43808934198026356,-0.5968582677467836,24.0,1,2,Gaming,Português,Sim,251685,,159,29,2936.0,45884,,622,Não,Manhã,Domingo,527362,-0.9693658539465465,0.27578417303478386
VID01377,28,-0.5911710884266482,1.5830103471301005,8.0,1,0,Tecnologia,Português,Não,156906,42.0,159,18,8296.0,12567,2580.0,120,Não,Noite,Sexta,241971,0.1269020027679617,-0.8861673854562439
VID00679,12,-1.0504163277658023,0.36506362103278106,16.0,1,4,Vlogs,Português,Sim,835915,39.0,402,16,1845.0,645,258.0,381,Não,Tarde,Seg-Qui,671031,-0.9693658539465465,-0.16284018308824205
VID01358,8,-0.017114539252705802,0.2516811930777753,44.0,1,2,Tecnologia,Português,Não,831843,100.0,144,1,8093.0,43779,1365.0,780,Não,Tarde,Sexta,934731,-1.4717982449062585,0.9442898230725489
VID01232,57,-1.6627433135513408,0.8222508305287717,43.0,1,0,Educação,Espanhol,Não,968775,80.0,453,8,1934.0,38276,1356.0,39,Não,Manhã,Seg-Qui,805767,1.073967890187985,0.9187308371229661
VID02429,56,-1.5096615671049562,0.811278337500868,2.0,0,0,Música,Português,Não,792257,91.0,40,28,7825.0,29836,751.0,815,Sim,Manhã,Domingo,1379190,1.0502050780361836,-2.135648814739523
VID02091,28,-1.241768510823783,-0.17990353268643997,13.0,0,4,Vlogs,Inglês,Sim,362586,,296,5,59.0,9698,3178.0,696,Sim,Manhã,Sábado,970409,0.1269020027679617,-0.38365906244170295
VID00737,17,-0.5911710884266482,1.5647228587502608,32.0,0,0,Gaming,Inglês,Sim,907176,4.0,397,4,5358.0,12521,3666.0,845,Não,Madrugada,Seg-Qui,4406107,-0.5247323574862355,0.591542245866622
VID00531,53,-0.36154846875707125,-0.1323560628988569,39.0,1,4,Culinária,Inglês,Sim,250637,42.0,295,26,7693.0,20639,867.0,828,Não,Tarde,Domingo,677763,0.9763315597867066,0.810331995315426
VID02485,43,-1.5862024403281485,0.4491860675800433,4.0,1,2,Culinária,Português,Sim,505024,11.0,74,1,6746.0,11447,59.0,982,Não,Manhã,Domingo,386546,0.6965153712615256,-1.5546730354940093
VID00481,26,-0.782523271484629,-1.1930303889295555,0.0,0,2,Educação,Espanhol,Não,60806,67.0,74,5,2609.0,12768,2021.0,600,Não,Noite,Sábado,165558,0.029265672366682892,-3.385130244022802
VID01132,57,-1.3183093840469753,0.017601341815828044,41.0,0,4,Vlogs,Português,Não,362857,28.0,76,6,9436.0,31236,1416.0,471,Não,Noite,Domingo,399128,1.073967890187985,0.8658223668415764
VID02381,7,1.0927281224835828,0.7783608584171566,45.0,1,1,Vlogs,Português,Sim,938308,35.0,393,3,1545.0,10,504.0,551,Não,Noite,Domingo,765764,-1.6327284171920713,0.9692870273313443
VID00970,14,1.5519733618227367,-0.04823361635159462,41.0,0,4,Educação,Português,Não,349425,74.0,149,26,9530.0,29619,2981.0,161,Não,Tarde,Sábado,335987,-0.7738432704692157,0.8658223668415764
VID02033,57,-0.17019628569909045,0.13098376977083376,15.0,0,0,Fitness,Português,Sim,732655,36.0,397,22,4783.0,30712,3834.0,101,Não,Noite,Seg-Qui,545369,1.073967890187985,-0.23179020294355548
VID01400,9,-0.6294415250382444,0.8954007840481303,3.0,0,0,Gaming,Português,Não,263151,88.0,267,5,7014.0,45528,1346.0,767,Sim,Madrugada,Sábado,534094,-1.3278413003221334,-1.808460223483179
VID00802,7,1.3223507421531597,-1.0869629563264855,39.0,1,4,Gaming,Inglês,Não,439720,94.0,238,11,1229.0,2263,52.0,55,Não,Tarde,Domingo,1519443,-1.6327284171920713,0.810331995315426
VID00189,37,-0.6677119616498405,0.043203825547603526,1.0,1,0,Educação,Inglês,Sim,500414,6.0,385,29,6125.0,490,3946.0,591,Não,Noite,Domingo,821600,0.4962070481832651,-2.5967952337529905
VID01821,56,-0.8207937080962252,-0.6078307607746873,7.0,1,1,Gaming,Português,Não,286142,41.0,129,23,8767.0,41353,4291.0,722,Não,Madrugada,Seg-Qui,508348,1.0502050780361836,-1.0201252132133674
VID02131,32,-0.17019628569909045,0.06880630927937902,43.0,0,2,Música,Português,Não,130097,115.0,316,24,7285.0,48243,2233.0,271,Não,Noite,Sábado,370140,0.3034475136944203,0.9187308371229661
VID02329,9,-1.1269572009889945,-0.5090783235235533,45.0,1,4,Fitness,Inglês,Sim,655447,28.0,296,5,4345.0,13658,2097.0,335,Não,Madrugada,Sexta,1257655,-1.3278413003221334,0.9692870273313443
VID01972,13,0.44213070008644817,-0.5895432723948477,0.0,1,0,Fitness,Inglês,Sim,547013,114.0,296,26,9717.0,16466,1584.0,609,Não,Noite,Sábado,1166097,-0.8681101114706626,-3.385130244022802
VID00252,38,-0.36154846875707125,-0.1323560628988569,23.0,0,0,Música,Inglês,Não,915155,84.0,270,10,4840.0,7839,4928.0,508,Não,Manhã,Sábado,3731559,0.5316980633263949,0.22935621606991216
VID00260,29,0.059426333970486515,0.317516151245198,37.0,1,0,Educação,Português,Não,748509,91.0,349,16,9147.0,39093,2288.0,980,Sim,Noite,Sexta,603738,0.17322261695080798,0.751994746182974
VID01303,13,-0.782523271484629,-1.752627533352648,4.0,1,0,Tecnologia,Português,Não,422604,53.0,276,4,5051.0,6530,2065.0,112,Não,Noite,Seg-Qui,490466,-0.8681101114706626,-1.5546730354940093
VID01678,33,-0.8590641447078213,-0.36277841648483633,9.0,1,4,Vlogs,Português,Não,56500,32.0,404,16,8896.0,32179,1326.0,813,Sim,Noite,Domingo,214041,0.3442364310130057,-0.7663380252241971
VID02118,46,-1.701013750162937,0.7234983932776378,2.0,0,0,Vlogs,Espanhol,Sim,334729,6.0,290,22,5094.0,46490,1656.0,630,Não,Noite,Sábado,482818,0.7866355406153094,-2.135648814739523
VID00441,53,-0.5911710884266482,-0.3335184350770929,38.0,1,1,Gaming,Espanhol,Sim,136015,80.0,475,20,436.0,22074,2728.0,750,Não,Noite,Sábado,389002,0.9763315597867066,0.7815373684640537
VID00219,58,-1.012145891154206,-1.068675467946646,6.0,1,4,Tecnologia,Português,Sim,16920,109.0,92,7,9512.0,34201,248.0,493,Não,Madrugada,Sexta,154325,1.0973244804669644,-1.1719940727115146
VID01079,6,-0.43808934198026356,-0.13601356057482483,47.0,1,0,Tecnologia,Espanhol,Não,887203,72.0,294,26,4073.0,31774,141.0,517,Não,Madrugada,Sexta,1230095,-1.815175998890686,1.017691226339724
VID01115,36,-0.4763597785918597,0.961235742215553,27.0,1,0,Gaming,Espanhol,Sim,114532,105.0,245,9,5467.0,44056,516.0,228,Não,Tarde,Domingo,432008,0.459769495240468,0.40467594782810884
VID01793,18,1.398891615376352,0.17121624420648096,0.0,0,4,Culinária,Português,Sim,476351,31.0,239,18,3809.0,22025,3669.0,294,Não,Manhã,Sábado,418032,-0.4508588392367586,-3.385130244022802
VID00195,23,-0.32327803214547507,0.8259083282047397,5.0,1,0,Vlogs,Inglês,Sim,574505,3.0,489,20,7476.0,11635,4014.0,163,Não,Noite,Sábado,1348712,-0.13166449991912935,-1.3473138044697115
VID02479,3,0.174237643805275,-0.8565406027405063,12.0,1,0,Culinária,Português,Não,214563,85.0,332,8,6520.0,30212,1998.0,525,Não,Noite,Sexta,265389,-2.579794304612095,-0.4679440608192252
VID01407,3,-1.2034980742121868,1.3781904772758968,13.0,1,0,Tecnologia,Português,Não,386180,8.0,70,9,310.0,31501,1547.0,53,Sim,Noite,Domingo,511749,-2.579794304612095,-0.38365906244170295
VID01062,9,-1.4331206938817638,1.6781052867052666,36.0,1,4,Gaming,Português,Sim,168660,66.0,412,26,5357.0,5635,226.0,710,Não,Madrugada,Seg-Qui,301533,-1.3278413003221334,0.7216642284704009
VID01725,32,-1.012145891154206,-0.8858005841482497,3.0,0,0,Educação,Inglês,Não,353597,66.0,449,24,4007.0,15372,3622.0,607,Não,Tarde,Domingo,697328,0.3034475136944203,-1.808460223483179
VID02070,19,1.5519733618227367,-1.6136426216658668,49.0,1,0,Fitness,Português,Sim,914474,81.0,86,3,6169.0,16214,1843.0,29,Não,Tarde,Sexta,651350,-0.3807754129021103,1.0641191833045955
VID00901,49,0.3655898268632558,-0.27499847226160606,16.0,0,1,Culinária,Português,Não,375597,113.0,482,5,7362.0,47561,4386.0,163,Não,Noite,Domingo,442237,0.8711775913878508,-0.16284018308824205
VID00094,49,0.174237643805275,0.8295658258807076,50.0,0,0,Música,Português,Sim,108506,5.0,113,2,9897.0,28894,2130.0,248,Não,Tarde,Sexta,332447,0.8711775913878508,1.0866412461950368
VID02156,20,-1.012145891154206,1.6195853238897797,5.0,0,4,Fitness,Inglês,Sim,690521,79.0,224,26,8555.0,49944,3056.0,943,Não,Madrugada,Seg-Qui,1481122,-0.3141120816177443,-1.3473138044697115
VID01799,26,0.9396463760371982,0.24070870004987155,12.0,1,0,Música,Inglês,Sim,460510,38.0,113,11,7788.0,24992,3494.0,969,Não,Noite,Domingo,2077123,0.029265672366682892,-0.4679440608192252
VID02017,36,1.2458098689299675,-1.500260193710861,1.0,1,0,Gaming,Português,Não,977525,12.0,161,23,1401.0,26402,1173.0,589,Não,Manhã,Domingo,1321253,0.459769495240468,-2.5967952337529905
VID02352,3,-1.012145891154206,-1.7233675519449045,28.0,1,0,Vlogs,Inglês,Não,385330,29.0,352,24,6766.0,39978,3655.0,965,Não,Madrugada,Sexta,1177577,-2.579794304612095,0.4445862536616426
VID02013,48,0.6334828831444289,0.5113635280714981,30.0,1,0,Gaming,Português,Não,272560,74.0,362,27,8637.0,35934,1828.0,856,Não,Madrugada,Domingo,518766,0.84357408167077,0.5204361552046983
VID01310,9,-0.7059823982614367,0.6210884583505358,49.0,0,4,Fitness,Português,Sim,794460,30.0,340,1,8285.0,18953,4629.0,699,Não,Madrugada,Seg-Qui,614747,-1.3278413003221334,1.0641191833045955
VID01670,25,-1.5479320037165523,0.3467761326529414,4.0,1,0,Fitness,Português,Sim,311821,99.0,389,25,7394.0,3729,517.0,311,Não,Madrugada,Domingo,272208,-0.022299966526522726,-1.5546730354940093
VID01899,16,0.3273193902516597,0.7088684025737662,0.0,0,0,Culinária,Espanhol,Sim,737663,29.0,462,21,7589.0,41159,1373.0,29,Não,Noite,Seg-Qui,788277,-0.6028294564070181,-3.385130244022802
VID02020,50,-1.241768510823783,-1.708737561241033,13.0,1,4,Educação,Espanhol,Sim,815365,24.0,370,24,2009.0,14583,1084.0,686,Sim,Tarde,Sexta,705228,0.8982344608659234,-0.38365906244170295
VID00171,27,0.13596720719367883,-0.8784855887963139,38.0,0,0,Música,Português,Não,218223,50.0,36,7,4945.0,20655,3492.0,735,Não,Manhã,Sexta,446059,0.07895577594936115,0.7815373684640537
VID00569,46,0.6717533197560251,0.811278337500868,5.0,1,0,Vlogs,Português,Sim,891956,112.0,337,23,7542.0,5566,768.0,130,Não,Tarde,Domingo,756715,0.7866355406153094,-1.3473138044697115
VID01362,53,1.169268995706775,0.3211736489211659,22.0,1,0,Culinária,Inglês,Sim,442276,49.0,26,26,3533.0,21604,3787.0,962,Não,Noite,Sábado,1049782,0.9763315597867066,0.18095201706153255
VID02395,21,0.13596720719367883,-1.0869629563264855,30.0,1,1,Vlogs,Inglês,Não,7422,82.0,413,13,5298.0,312,4903.0,835,Não,Manhã,Domingo,280121,-0.25055051615849744,0.5204361552046983
VID00464,43,-0.782523271484629,1.0746181701705588,42.0,1,0,Gaming,Português,Não,610311,90.0,253,25,6696.0,39807,1022.0,827,Não,Manhã,Sexta,931796,0.6965153712615256,0.8925842371019934
VID00213,26,0.21250808041687116,0.07977880230728279,34.0,1,0,Tecnologia,Inglês,Não,310848,87.0,468,22,5131.0,35877,1820.0,200,Sim,Madrugada,Seg-Qui,1200275,0.029265672366682892,0.6584631358172784
VID01573,2,1.7433255448807174,-1.503917691386829,34.0,1,4,Vlogs,Inglês,Sim,74812,19.0,297,26,8412.0,20653,2454.0,989,Não,Noite,Seg-Qui,448574,-2.972862162179201,0.6584631358172784
VID01539,2,1.5519733618227367,-1.419795244839567,50.0,0,4,Música,Português,Não,194264,47.0,148,14,4208.0,36612,4272.0,148,Não,Noite,Sábado,436991,-2.972862162179201,1.0866412461950368
VID01653,24,-0.3998189053686674,-0.059206109379498405,45.0,1,0,Culinária,Português,Não,171166,100.0,359,12,3727.0,9946,4351.0,699,Não,Madrugada,Seg-Qui,256688,-0.075888296032173,0.9692870273313443
VID01724,58,-0.9356050179310137,-0.23476599782595883,38.0,1,0,Vlogs,Espanhol,Sim,763448,97.0,374,11,4463.0,11701,3932.0,592,Não,Noite,Seg-Qui,938136,1.0973244804669644,0.7815373684640537
VID00297,30,1.360621178764756,-0.21282101177015128,32.0,0,2,Tecnologia,Inglês,Não,7871,37.0,463,28,4561.0,-259,3079.0,23,Não,Manhã,Domingo,221935,0.2180242456974108,0.591542245866622
VID00931,27,0.09769677058208268,-0.6553782305622704,29.0,1,0,Fitness,Português,Não,29041,45.0,53,17,1006.0,25451,2521.0,259,Não,Noite,Sexta,141074,0.07895577594936115,0.48314340405908185
VID02121,52,-0.9738754545426098,-0.9882105190753516,24.0,1,0,Culinária,Português,Não,582161,10.0,328,21,9199.0,43182,1763.0,887,Não,Tarde,Sábado,560494,0.9507919889200594,0.27578417303478386
VID01000,48,-1.47139113049336,0.5003910350435943,29.0,1,0,Culinária,Espanhol,Sim,687054,120.0,267,29,9003.0,34328,141.0,670,Não,Manhã,Sexta,804602,0.84357408167077,0.48314340405908185
VID01085,7,-0.782523271484629,-0.7833906492211478,10.0,0,0,Vlogs,Espanhol,Sim,549647,96.0,383,30,2023.0,44549,765.0,343,Sim,Tarde,Sexta,801385,-1.6327284171920713,-0.657939183416657
VID00509,59,-1.3183093840469753,-0.11772607219498522,24.0,1,2,Culinária,Inglês,Não,812946,110.0,350,9,2648.0,29274,1590.0,704,Não,Manhã,Sábado,1686200,1.1202885043708313,0.27578417303478386
VID00240,25,-1.47139113049336,-0.0043436442399795135,33.0,1,4,Fitness,Português,Sim,780431,,86,28,9170.0,26155,2780.0,721,Sim,Tarde,Sábado,665800,-0.022299966526522726,0.6254948271815697
VID37465,18,-1.5479320037165523,-0.38838090021661176,36.0,0,0,Música,Inglês,Sim,473099,44.0,257,28,775.0,23254,2517.0,777,Sim,Noite,Sábado,2210654,-0.4508588392367586,0.7216642284704009
